"region","season","year.new","H1_cum_intensity","IVB_cum_intensity","prior_dom_type_national","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","usa_bhatt_ep_mean","usa_wolf_ep_mean","NA_bhatt_ep_lag1","NA_bhatt_nonepitope_lag1","HA_koel_lag2","HA_titer_tree_lag2","HA_wolf_lag2","HA_wolf_nonepitope_lag2","HA_std_lbi","NA_std_lbi","vac_combined","vac_combined_prior","vac_cov_combined_prior","weighted_VE","weighted_VE_prior_season","h3_dom","pred","model","dataType","object","resid"
"Region 6","2006-2007","2006",46.2802402387017,35.9109475704781,1,35.5323481193104,0.536997399628973,3.83859599243543,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.0157168929361448,0.40766997422748,"Lasso","Training","lasso",-0.391953081291336
"Region 7","2006-2007","2006",26.5342301267142,6.35549490923804,1,18.0397711448428,1.34902786679004,10.1911351849989,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.0971102191885347,0.317839457087116,"Conditional
Random Forest","Training","party RF",-0.220729237898581
"Region 7","2006-2007","2006",26.5342301267142,6.35549490923804,1,18.0397711448428,1.34902786679004,10.1911351849989,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.0971102191885347,0.40766997422748,"Lasso","Training","lasso",-0.310559755038946
"Region 8","2006-2007","2006",12.549182322694,2.46821540737183,1,38.9038304028767,0.211321505410044,12.24070881046,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.391554583193061,0.31547118426847,"Conditional
Random Forest","Training","party RF",0.0760833989245914
"Region 8","2006-2007","2006",12.549182322694,2.46821540737183,1,38.9038304028767,0.211321505410044,12.24070881046,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.391554583193061,0.40766997422748,"Lasso","Training","lasso",-0.0161153910344189
"Region 9","2006-2007","2006",13.2499464887113,2.5835141045699,1,30.8313160614265,1.23415074839531,6.14444363299895,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.497600396768445,0.318820555133201,"Conditional
Random Forest","Training","party RF",0.178779841635244
"Region 9","2006-2007","2006",13.2499464887113,2.5835141045699,1,30.8313160614265,1.23415074839531,6.14444363299895,5.10416666666667,5.48684210526316,6.37,2.098,1.108,1.82,4.544,4.482,2.26135378783845,1.75667529811756,4.82372411637663,7.0224,0.10032,40.7151223159031,70,0.497600396768445,0.40766997422748,"Lasso","Training","lasso",0.089930422540965
"Region 1","2007-2008","2007",8.47556183695228,22.948903372149,0,12.2341083032734,9.76711137276225,3.38976785515049,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.413027251338924,0.512461741206292,"Conditional
Random Forest","Training","party RF",-0.099434489867368
"Region 1","2007-2008","2007",8.47556183695228,22.948903372149,0,12.2341083032734,9.76711137276225,3.38976785515049,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.413027251338924,0.556614247634721,"Lasso","Training","lasso",-0.143586996295797
"Region 2","2007-2008","2007",13.1028226115876,28.3444319482631,0,14.622046910614,14.2138719061838,9.6482134543991,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.374374113788002,0.49537367315162,"Conditional
Random Forest","Training","party RF",-0.120999559363618
"Region 2","2007-2008","2007",13.1028226115876,28.3444319482631,0,14.622046910614,14.2138719061838,9.6482134543991,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.374374113788002,0.556614247634721,"Lasso","Training","lasso",-0.182240133846719
"Region 3","2007-2008","2007",6.01794040017107,14.8550938513787,0,10.8702448932039,19.6348737998989,13.3724587328075,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.69609536119583,0.564578619774955,"Conditional
Random Forest","Training","party RF",0.131516741420875
"Region 3","2007-2008","2007",6.01794040017107,14.8550938513787,0,10.8702448932039,19.6348737998989,13.3724587328075,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.69609536119583,0.556614247634721,"Lasso","Training","lasso",0.139481113561109
"Region 4","2007-2008","2007",9.1479454949763,21.4389878664692,0,6.67918176180645,26.7658885954599,6.29302006139312,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.548235978399974,0.565358580415396,"Conditional
Random Forest","Training","party RF",-0.017122602015422
"Region 4","2007-2008","2007",9.1479454949763,21.4389878664692,0,6.67918176180645,26.7658885954599,6.29302006139312,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.548235978399974,0.556614247634721,"Lasso","Training","lasso",-0.00837826923474716
"Region 5","2007-2008","2007",9.3204186955262,12.7196019180571,0,5.73150773278894,18.8093071755275,11.0485292780664,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.655073280403927,0.582621038697555,"Conditional
Random Forest","Training","party RF",0.0724522417063719
"Region 5","2007-2008","2007",9.3204186955262,12.7196019180571,0,5.73150773278894,18.8093071755275,11.0485292780664,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.655073280403927,0.556614247634721,"Lasso","Training","lasso",0.0984590327692066
"Region 6","2007-2008","2007",4.92515498107285,11.8138419132447,0,1.2430072053448,46.2802402387017,35.9109475704781,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.820938136685178,0.587725454290451,"Conditional
Random Forest","Training","party RF",0.233212682394727
"Region 6","2007-2008","2007",4.92515498107285,11.8138419132447,0,1.2430072053448,46.2802402387017,35.9109475704781,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.820938136685178,0.556614247634721,"Lasso","Training","lasso",0.264323889050458
"Region 7","2007-2008","2007",8.2195127327243,18.5414021799639,0,3.47377713766228,26.5342301267142,6.35549490923804,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.65052575595868,0.570104236325225,"Conditional
Random Forest","Training","party RF",0.0804215196334546
"Region 7","2007-2008","2007",8.2195127327243,18.5414021799639,0,3.47377713766228,26.5342301267142,6.35549490923804,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.65052575595868,0.556614247634721,"Lasso","Training","lasso",0.093911508323959
"Region 8","2007-2008","2007",16.9583890539642,19.2175029981095,0,8.96129834025818,12.549182322694,2.46821540737183,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.329658896241382,0.531238804449316,"Conditional
Random Forest","Training","party RF",-0.201579908207934
"Region 8","2007-2008","2007",16.9583890539642,19.2175029981095,0,8.96129834025818,12.549182322694,2.46821540737183,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.329658896241382,0.556614247634721,"Lasso","Training","lasso",-0.226955351393339
"Region 9","2007-2008","2007",15.6744305376792,12.5648633667079,0,14.3650788563462,13.2499464887113,2.5835141045699,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.330715070543616,0.488544599350338,"Conditional
Random Forest","Training","party RF",-0.157829528806722
"Region 9","2007-2008","2007",15.6744305376792,12.5648633667079,0,14.3650788563462,13.2499464887113,2.5835141045699,6.62307692307692,6.67810026385224,5.37,1.9,0.416,1.69,4.31,4.056,1.86868779713344,0.840217870800569,6.18837710071372,4.82372411637663,0.118475,46.3354480570975,40.7151223159031,0.330715070543616,0.556614247634721,"Lasso","Training","lasso",-0.225899177091105
"Region 1","2008-2009","2008",23.6357485057778,12.4037744787822,1,21.2498362683725,8.47556183695228,22.948903372149,4.64634146341463,4.30743243243243,4.354,1.126,0.618,1.768,4.726,2.916,1.30551654672858,1.10681159745176,8.57472,6.18837710071372,0.133556,55,46.3354480570975,0.0723367087415125,0.20800051524048,"Conditional
Random Forest","Training","party RF",-0.135663806498967
